,content,label
19,"Đẹp quá, phải làm 1 cái mới được. Má: Dậy đi bán cho hết vé kìa, chiều rồi...!!!",positive
20,Chiều về bên xóm Vạn chài - Sầm Sơn 😊,neutral
21,Cảm ơn Uber đã truyền cảm hứng cho cơ quan mình chiều hôm nay nhé! Mọi người đều rất vui tuy chỉ nhận được kem mà không có bánh.,positive
22,Cho mình hỏi mua ở các đại lý Viettel store hả ad,neutral
23,Mình chỉ dùng IP nhưng công nhận mẫu này đẹp hơn mẫu S6. Mẫu S6 mặt sau trông vuông và thô ko đẹp như mặt trước.,positive
24,Giờ mới biết snapdragon là nhà sx từ Mỹ.,neutral
25,"cho e hỏi là hiện máy e chip i3 3,5ghz, đang dùng cái gtx750ti thì cắm mấy bé như rx460,470 hay như con 1060 này có ok ko ah? Có bị thắt cổ chai ko?",neutral
26,Vợ chồng mình dùng ss mãi s5 và note 4 có thấy đơ đâu bạn . có khi bạn bị đơ thì có.,negative
27,http://ictnews.vn - Đây phải chăng là chỉ dấu VNPT sắp có cuộc tổng tấn công thị trường Mozambique xa xôi?,neutral
28,You're my fave Uber rider ever! ❤❤❤,positive
29,"4G bên Korea còn rớt lên rớt xuống. Khởi đầu sao thấy cái gì cũng rầm rộ, rồi từ từ thì....",negative
30,mới làm con G3 mấy tháng nay. Xài cũng rất ok. Do nhu cầu k quá cao. Cơ mà ram 3G mà k chạy j cũng mất 45% ram rồi,mix
31,Rất đẹp..nhưng hơi nữ tính.,positive
32,Made in China. tôi tẩy chay.,negative
33,"Hoa hậu Nguyễn Cao Kỳ Duyên gửi lời chúc 8-3 nè... ""Duyên xin gửi lời chúc một nửa thế giới luôn thành công trong cuộc sống! Chúc các bạn luôn duyên dáng và xinh đẹp trong mắt một nửa thế giới còn lại. Chúc các bạn gái có nhiều niềm vui và nhận được nhiều lời yêu thương ngọt ngào từ người yêu của mình. heart emoticon heart emoticon heart emoticon"" Chúng mình có gửi lời chúc gì tới chị không nào????? ‪#‎minh‬",positive
34,Dùng Android hơn 17 củ mà không vọc uprom được thì chán nhỉ.,negative
35,"đây là fb giả mạo nguyễn ngọc ngạn, chính thức ông Ngạn k có chơi fb hay trang mạng xh nào hết, muốn biết hãy vào fb cua Nguyễn Cao Kỳ Duyên nhé có clip trực tiếp ông Nguyễn Ngọc Ngạn nói về vấn đề này",negative
36,Đang nói phơi sáng mà b. Nếu chụp thường thì S7 ăn chắc,positive
37,"Kết nối như thế chắc bác phát điên mất, vì hơi tí là rung. Với mình chỉ để cuộc gọi thôi, vì đi đường mình để đt trong balo.Minh xài pin tầm tháng rưỡi luôn",negative
38,e mua SH Mode 2015. giá 58tr,neutral
39,Sầm Sơn cùng 2 con nợn.🐖🐖🐖🐖,neutral
40,"Chà từ trước đến giờ rất thích Pentax, đợi mãi Pentax mới ra Fullframe chỉ tiếc là chắc phải đợi vài năm nữa mới mua được. :) dù sao cũng vui.",positive
41,A bán dàn áo GP Exciter 5 số hả a,neutral
42,"giá quá chát. mắc hơn HP spectre 13. nặng chỉ 1.1kg . giá cũng bèo hơn con này, nhưng mạnh hơn.ps: nói vậy thôi chứ có tiền sẽ mua Microsoft Surface Book, hoặc Dell inspiron 7000 series.",negative
43,From anh Viettel : Tài khoản quý khách còn dưới 1000d :'( :'(,neutral
44,"100% bạn gái khi xem clip này đều thấy ""quen quen"", bắt gặp hình ảnh chính mình trong clip :-) vào những đêm ""ngày ấy"". Kotex Style Ban đêm mới tự tin sẽ là vũ khí bí mật phục vụ mọi cô gái tạm biệt sự cố về đêm này. Bạn tin không, hãy thử ngay nhé! . ***Bật mí: Một hoạt động có 1-0-2 mới sẽ diễn ra rất rất gần; Bạn hãy chuẩn bị tham gia cùng Kotex Style Ban đêm nha. ;-) #KOTEX_thachthucdemngayay",positive
45,"Hoa hậu Nguyễn Cao Kỳ Duyên xuất hiện rạng rỡ tại một sự kiện trong TP.Hồ Chí Minh. Cô diện trang phục đơn giản nhưng không kém phần tinh tế, sang trọng.",positive
46,Viettel cũng thế..thuê bao mới cả thôi,neutral
47,"Bạn bè, anh chị em mình có nhà nào sử dụng mạng Ti Vi của Viettel k z?",neutral
48,e dg sử dụng dịch vụ internet của VNPT.nhưng xài router ko có wifi.giờ e mới mua cục wifi.nhờ mấy anh VNPT chỉnh lại cấu hình dùm e đc ko vậy,neutral
49,Đơn giản chúng tôi yêu Exciter! (Y) Đẳng Cấp Biker,positive
50,Cái đ.m phụ nữ mà nhìn sơ đã không có apple rồi làm ăn như cc ý . Mà thôi event phụ nữ dùng kotex hút máu thì anh cũng thông cảm cho mimi tý,negative
51,Tưởng gì? Thì cũng làm nhà cho cá ở hồ Ngọc Hà ở Hà Nội thôi mà!,neutral
52,Báo giá SH Mode giúp nhé ad : 0905 232056,neutral
53,Uh the ban mun bit them gi ve mh thi lien hệ OK Exciter Xuân Trường,neutral
54,Đăng ký Internet Viettel chưa bao giờ đơn giản đến thế ❤ . Chỉ cần 👉 BẤM *191# 👈,positive
55,đẹp lắm chị ưi. iu wa à... <3 Hoa hậu Nguyễn Cao Kỳ Duyên,positive
56,"Từ nay tới hết ngày 28/02, tặng ngay 2 bịch sữa tươi sạch TH True Milk khi mua 10 bịch tại các siêu thị, cửa hàng bán lẻ và hệ thống cửa hàng TH true mart trên toàn quốc. Còn chần chờ gì nữa, mua hàng nhanh tay, nhận ngay khuyến mãi lớn từ #THtrueMILK các mẹ ơi ^^",positive
57,"✯✯✯ TIN ẢNH ✯✯✯ . Kỷ niệm chào mừng ngày phụ nữ Việt Nam 20-10 . GPBank Nghệ An với chương trình ""Lẩu đầu đông""",neutral
58,"Tình đầu là để dở dang, là để nhức nhối, là để suốt đời không thể nào quên. Mối tình đầu tiên ấy để lại những cảm xúc không thể phai mờ theo chiều dài của tháng năm. . . Kỷ niệm nào về mối tình đầu vẫn khiến bạn thổn thức, khiến nỗi nhớ trong bạn vẫn luôn da diết? Cùng chia sẻ kỷ niệm ấy với Hội Bạn Gái Kotex nhé!",positive
59,Ai Viettel giơ tay ;))),neutral
60,Mới ra chưa đầy 1 tháng đả có bản độ excier Camo 150 tuyệt đẹp . http://autof5.com/ban-do-Exciter-camo-150-tuyet-dep-dau-tien-tai-kien-giang/,positive
61,"G2 loạn cảm ứng, G3 hay tắt nguồn, G4 hay chết mainboard. Biết thì khuyên ko bít thì thôi...khuyên bậy hại người ta",negative
62,Quả này làm Uber khách có đi k nhỉ? Đã Hummer rồi lại còn mạ vàng...,neutral
63,Nhìn có vẻ nhạt.............,negative
64,Sao Bphone không chơi đk,negative
65,‘Chuyên gia’ nói gì về tai nạn hy hữu giữa Monster 795 và Exciter,negative
66,"Tôi đang xài macbook pro retina 13"" 866 2 năm nay và cảm thấy rất hài lòng",positive
67,Android 6.0 chưa có cập nhật sông giờ thêm Android 7.0 nữa,neutral
68,con SH Mode cua e co độ kiểu gì đẹp lên ko ad ơi..,neutral
69,"Cho bố mẹ thì mua air2 cho nhẹ, 3,4 hơi nặng chút, nếu ko mua mini3 cũng đc. Chỉ đọc báo với web bt thì ko nóng đâu hơi ấm thôi.",neutral
70,"Sáng giờ có khá nhiều bạn inbox với comment hỏi về việc không vào được taetaehome. . Có thể là do nhà mạng đã chặn wordpress rồi, nên mọi người hỏi bác Gồ cách đổi DNS để vào lại nha.",negative
71,Cần lắm... ai có thể giúp mình.. . Ai cho mình biết giá xe Exciter 150 bản RC và GP bán tại Đà lạt. ĐỨC trọng - Lâm Đồng là bao nhiêu với. Chỗ nào giá tốt nhất chỉ giùm mình với.,neutral
72,"GPBank tuyển dụng trên toàn hệ thống, em share cho cả nhà mình ai có nhu cầu thì apply nhé 😉😉😉. Chúc cả nhà nghỉ lễ vui ạ 😊😊😆 . GPBank Chào đón nhân tài . Nhanh Gọn - Thuận Tiện với Đăng ký trực tuyến .",positive
73,"Tôi chán ông Asus lắm rồi, ngoài cái thương hiệu may mắn ko phải của China còn mọi thứ còn lại đều rất ""China"": chất lượng kém (hỏngvặt). Dịch vụ kém (đi bh nhiều lần, bh lâu). Độ tin cậy thấp (hay hỏng nên mau trượt giá). Kiểu dáng xấu. Đc cái cấu hình cao. Kết luận: cạch, ko nên mua, dc cho cũg ko nên xài.",negative
74,Chẳng có gì mới lạ bình cũ rượu mới thôi,negative
75,"dù thế nào thì em vẫn sẽ nấu những món ăn Việt cùng Nestle mỗi ngày cho cả nhà ạ. thi thì không tự tin lắm, sẽ cố gắng và mong may mắn ạ",mix
76,Samsung chup dem nhu ngay zay .,positive
77,Cần làm ứng dụng giống như Uber/grabtaxi . Báo giá ngay tại: https://freelancerviet.vn/viec-freelance/8567-1451898582-viet-mobile-apps-giong-Uber-grabtaxi.html,neutral
78,"Sáng 8/4/2016, lễ khánh thành hệ thống Hubway thuộc dự án “Không gian ven biển phía Đông đường Hồ Xuân Hương” được tổ chức tại Hubway 8, đường Hồ Xuân Hương, Thị xã Sầm Sơn, tỉnh Thanh Hóa, với sự tham gia của hơn 400 khách mời. “Không gian ven biển phía Đông đường Hồ Xuân Hương” là dự án được triển khai theo hình thức BOT, do UBND thị xã Sầm Sơn làm chủ đầu tư và Tập đoàn FLC tham gia với tư cách là nhà thầu. http://vneconomy.vn/…/khanh-thanh-du-an-khong-gian-du-lich-…",neutral
79,Cô Tô suất phát điểm từ Hà nội : Gần🚘 -Say sóng (tý)🚤- Cảnh rất đẹp 👍- Còn hoang sơ - Ở dân dã - Dịch vụ thiếu - Chi phí rẻ - Biển trong veo - Người thì vắng - Dân thì lành - Tuy hơi nóng. Nhưng chắc chắn đi rồi lại muốn đi thêm vì còn rất nhiều đảo nhỏ chưa được đặt chân.,positive
80,"Giá ổn thật, định cố thêm tiền mua ip nhưng mà thích em này quá rồi",positive
81,"Vâng, và sau đó sẽ là Note 7 phiên bản HelloKitty, Note 7 phiên bản Tarzan, Note 7 Lite, Note 7 Pro.... mới xứng tầm Samsung",neutral
82,"Vinamilk được hưởng quyền lợi từ nhà nước biết bao nhiêu , bây giờ lớn mạnh thì lại quên hết quá khứ ,giở giọng KTTT , bỏ mặc nông dân",negative
83,Đã bằng giá rồi các bác còn chê lens gì nữa. Nói chung X-Trans Fuji quá đỉnh!,positive
84,"Mỗi lần tham gia các chương trình của Gia Đình Nestle, mình vừa có cơ hội chơi vui nhận quà, lại vừa có cơ hội học hỏi thêm nhiều món ăn mới.thích lắm ạ",positive
85,"Ad ơi, ko biết SH Mode độ đc giàn áo ý ko vậy ??? . Hay chỉ độ đc cho 125 với 150cc thôi hả ad ???",neutral
86,"Mua Lumia 540– Lướt Honda SH Mode #VIỄNTHÔNGA Viễn Thông A, Huế. . CLICK: http://www.vienthonga.vn/mua-lumia-540-luot-Honda-SH-mode.html",neutral
87,mới đến chiều thôi mà ngồi nhìn các món ăn của Nestle mà đói ơi là đói rùi ná.. :),neutral
88,Cá phô sống ở đảo Cô Tô trung quốc thường đc bán ở shop nên gọi là cá photoshop,neutral
89,"500GB thì có dòng SSD T1, T3 của Samsung (mình đang sài) cho tốc độ đọc/ghi ~450MB/s giá trên Tiki, Lazada khoảng 5,2tr. Giá mua bên Mỹ ship về khoảng 3,9tr. Quá ổn, cần gì đợi!.",neutral
90,"Phòng nghỉ Cô Tô nà.y Khách sạn đảo Cô Tô này, nằm ngay bãi Vàn Chảy nhé https://www.facebook.com/dulichdaocotovn/",neutral
91,"Xách máy ra tiệm chuyên nghiệp, kêu chuyên gia test thử xem đúng hàng không, nếu đúng 100% thì lấy ngay và luôn nếu máy không bị lock máy. Ngoài ra hàng giả của anh TQ 100%.",neutral
92,Qua đây cũng phải cảm ơn “60 Phút Mở” vì tạo ra “Người hùng” Phan Anh...Phan Anh đã làm một điều không SAO nào DÁM làm (y),positive
93,Dùng ipad bền lắm.. vài đời android thì cái ipad nó mới hỏng.. sao bảo không bán đc,positive
94,thấy a like trang kotex Tài Thanh,neutral
95,chưa bao giờ mong em đấy ra nhanh như lúc này để 4.5 xuống giá hot em về động phòng chơi đợi mỏi cổ quá,positive
96,"Lần đầu xa nhà và ở chung phòng trọ cùng một cô nàng lạ hoắc, nhiều cô gái rơi vào những tình huống dở khóc dở cười. Khi ấy, cuộc đời ở trọ giống như bộ phim dài tập, dài hơn cả... ""Cô dâu 8 tuổi"" với nhiều niềm vui và nước mắt. . “Tập phim” ở trọ cùng người lạ của bạn có gì thú vị? . Hãy chia sẻ với Kotex và cùng tham khảo kinh nghiệm và lời khuyên của Hội Bạn Gái Kotex nhé!",positive
97,"Uber cho mình hỏi số dt phụ vụ của Uber taiwan là bao nhiêu vậy. với lại đăng kí xe hơi phải là năm 2008 trở lên, nhưng nếu qua năm sau Uber có tăng lên thành 2009 ko?",neutral
98,Hi vọng Bphone được như bài viết,neutral
99,Máy này ngon lắm max thich Bphone,positive
100,"Chúc mừng Team nữ China đã vô địch Uber Cup 2016, sau khi vượt qua Team Korea với tỉ số 3-1. . . Photo: Badminton Live News",positive
101,"Đắt hơn cả ip, thế mà mg cứ bảo ng dùng ip là để khoe...",negative
102,"Thế mà không điện thoại cho anh HTC, anh ấy từng làm camera kép đã lâu, chắc kinh nghiệm đầy mình.",neutral
103,"Tôi mua Macbook Pro 13"" từ cuối năm 2010 và bây giờ nó vẫn chưa chịu hỏng :( Dùng vẫn nhanh, mượt, xem phim, nghe nhạc lướt mạng thỉng thoảng photoshop với lighroom chút vẫn ngon lành :D",positive
104,Ad k biết như nào nhưng ad tốt nghiệp trường này ra và đang là chuyên viên thẩm định tín dụng của vpbank nhé. Tự thi vào k hề quen biết hay chạy chọt gì cả.,neutral
105,500$ thì thôi đi,negative
106,Chào head Phương Hà. Cho e hỏi giá xe SH Mode màu trắng bên mình bán bao nhiêu vậy?,neutral
107,"Bphone nên mở BStore ở các thành phố lớn, bỏ vào đó 50-100 máy để người dùng tới trải nghiệm và mua luôn nếu muốn.",positive
108,mình đổi thẻ cái Viettel hơn 2 tuần rồi chưa nhận đc mã thẻ @@ nản luôn,negative
109,"K thể thua hội kotex đc, #Hội_chị_em_diana đâu !!!",negative
110,"Trước nghe thấy iphone mình cũng thích lắm, nhưng không đủ tiền mua, iphone trước kia hơn hẳn các dòng khác ở thiết kế, cảm ứng và màn hình đẹp tốt. Nhưng đến thời điểm iphone 5s, 6s không hiểu sao có tiền cũng không muốn nữa. Không nói đến những người yêu công nghệ họ mua về tìm hiểu vọc vạch nhé, còn đa số mua về chẳng biết để làm gì chỉ nghe với gọi giải quyết khâu oai là chính bởi họ có tiền họ có quyền thể hiện, con người VN khác các nước khác là ở chỗ đó. Giờ ra đường rút iphone ra bình thường quá, không bằng em V3 :D",mix
111,"Bộ nhớ quá khủng, để làm gì nhỉ ?",neutral
112,klq nhưng bé đi chiếc SH Mode nhìn là biết dễ thương rồi ^_^,positive
113,Cô Tô này Châu Khoa,neutral
114,"màn hình not 4 rơi nhẹ cũng bị bể, thay đến 2 lần. Chưa bao giờ thấy điện thoại nào mà có màn hình dễ vỡ như vậy",negative
115,"NGÀY VÀNG KHUYẾN MẠI CÙNG Vinaphone - 26/06/2016 . . Nhanh tay nạp thẻ và nhắc bạn bè, người thân cùng nạp thẻ trong ngày 26/06 để được tặng 50% giá trị thẻ nạp các bạn ơi!!! ;) . . #VNPT #Vinaphone #NgàyVàngKhuyếnMại",positive
116,"Thanz bác, 4.0 này hình như chỉ là bản port của DL1 thôi đúng không chứ SB và DCM chưa hỗ trợ up con này lên. Cũng chơi chán nhỉ",neutral
117,"Chiều 15/4, tại buổi họp báo về tuyên truyền lễ hội du lịch biển Sầm Sơn năm 2016, Sở Văn hóa – Thể thao và Du lịch Thanh Hóa cho biết: Sầm Sơn sẽ bắn pháo hoa tầm thấp trong đêm khai mạc du lịco ngày 23/4. Theo đó, chương trình khai mạc Lễ hội du lịch biển Sầm Sơn 2016 sẽ diễn ra vào lúc 20 giờ 10 phút ngày 23/4, tại sân khấu Quảng trường bãi B, phường Trường Sơn, thị xã Sầm Sơn. [ 493 more words. ] . . http://tinmientrung.com/?p=76716",neutral
118,"Sữa tươi thơm ngon chỉ có thể là Vinamilk thôi, nhà mình con chỉ đòi uống duy nhất Vinamilk",positive
119,Chúc mừng năm mới Kotex,positive
120,To vậy nhìn sướng nhỉ. Đỡ bị cận thị. Không như những loại màn hính có 3.5 Inch căng măt lên nhìn không cận mới là lạ,mix
121,"Miễn là chạy đc ứng dụng MiFit: https://itunes.apple.com/us/app/mi-fit/id938688461?mt=8 Mi Fit on the App Store Read reviews, compare customer ratings, see screenshots, and learn more about Mi Fit. Download Mi Fit and enjoy it on your iPhone, iPad, and iPod touch. itunes.apple.com Nên của bạn đc, tuy nhiên có IP 5 thì tốt hơn",neutral
122,Thích thật chi Nguyễn Cao Kỳ Duyên oi chỉ có không chồng mới sống cho mình được khỏe trẻ lâu gia .cảm ơn bài viết cua chi,positive
123,"5 lô trà xanh C2, Rồng Đỏ do Công ty TNHH URC sản xuất vừa được các cơ quan chức năng thông báo thu hồi do kết quả kiểm nghiệm nhiễm độc chì vượt ngưỡng cho phép. Thông tin này khiến người tiêu dùng không khỏi hoang mang lo lắng cho sức khỏe của mình.Vậy đồ uống nhiễm độc chì vượt ngưỡng cho phép gây ảnh hưởng như thế nào?",negative
124,Có vỏ xe SH Mode chóng đinh ko a?,neutral
125,"Uống C2, Rồng Đỏ nhiễm chì có được bồi thường? . . Hàng chục nghìn thùng sản phẩm C2, Rồng Đỏ có hàm lượng chì vượt ngưỡng công bố đã được tiêu thụ trên thị trường. Vậy, người tiêu dùng mua phải sản phẩm không đảm bảo này liệu có được bồi thường? . . Luật sư Nguyễn Thanh Hà, từ công ty luật SBLAW trả lời bạn đọc về vấn đề này trên báo Dân Việt. . . Mời Quý vj đón đọc tại đây: . . http://danviet.vn/ban-doc/uong-c2-rong-do-nhiem-chi-co-duoc-boi-thuong-684276.html",mix
126,giá taplet samsung không bao giờ khiến người dùng hài lòng !,negative
127,Nhớ sử dụng các sản phẩm của Gia Đình Nestle để cho món ăn thêm ngon và đúng với thể lệ chương trình nhé các bạn,positive
128,Dễ thất lạc Bluetooth Dongles.? là cái nào b?,neutral
129,Anh Bùi thế có phải Cô Tô có biển k anh ? thế mà hôm ae mình nc anh bảo k,neutral
130,"THÔNG TIN DÀNH CHO CÁC MẸ . . Xúc Xích Vietfoods gây ung thư chứa chất cấm Sodium nitrate 251, nếu nướng rán, ăn vào cơ thể thì chuyển đổi chất thành nitrosamine độc; trẻ nhỏ ăn nhiều, nhiễm độc nặng... dễ tử vong. http://phuongnamplus.vn/77-78-28986--Xuc-xich-Vietfoods-gay-ung-thu-Tre-an-nhiem-doc-nang-tu-vong.html",negative
131,Bạn biết gì về Logo mới của GPBank?,neutral
132,"(ĐSPL) - Những chiếc siêu xe giá bạc tỷ của sao Việt như Đàm Vĩnh Hưng, Hồ Ngọc Hà, Ngọc Trinh hay Hoa hậu Nguyễn Cao Kỳ Duyên... khiến không ít người thầm ước ao.",positive
133,ad ơi . mình ở bình định . mình đang sử dụng Internet của VNPT . gói cước 132000/tháng . ad có thể cho mình biết thông tin về tốc độ đường truyền của gói này được k ad,neutral
134,"Three some, sơn tùng đút chuối cho phạm hương ăn và bú sữa hồ ngọc hà, hồ ngọc hà cạp bưởi phạm hương là vui cả làng.",negative
135,"trong 16 mẫu kiểm tra C2 và Rồng Đỏ mới kiểm tra là an toàn không bị nhiễm chì, chỉ có 3 lô của tháng 2 và tháng 10 năm ngoái nghi ngờ nên mới bị thu hồi thôi",mix
136,"xem coi hở bền thì quất, vui vẻ thoy là",positive
137,"Anh Hau Zozo ơi có biết nạp Fifa bằng Viettel ko , sao nó chậm quá",negative
138,Con này mà cầm lên chụp hình k cần biết chất lượng thế nào đã khen đẹp rồi,positive
139,Sẽ không khó khăn khi bạn tìm trên mạng tìm kiếm internet cụm từ “CLB Exciter VLC” sẽ xuất hiện khá nhiều thông tin về hội những người đam mê xe gắn máy Yamaha Exciter này. . . http://www.autozoom.vn/threads/clb-Exciter-vlc-03-nam-day-nghia-tinh-voi-anh-em-nguoi-dung.153926/,positive
140,Xấu..nếu chỉ có cái màu sắc đẹp mà ngoại hình xấu thì cũng vứt..kiểu như CÔ ẤY CÓ NƯỚC DA TRẮNG MỊN NHƯNG MẶT THÌ XẤU ấy...,negative
141,"Cứ từ từ, đi chậm một chút, nhưng sẽ tránh sụp hố người đi trước. Sự khôn ngoan của táo là đây.",positive
142,Túi số 2 ad ơi mình vẫn luôn tin dùng Kotex luôn đồng hành cùng Kotex,positive
143,"Có xế nào của Uber chở gái bị vợ hiểu nhầm, tương ngay cái dụng cụ kiếm khách xuống hồ.",negative
144,(E) cũng có nghĩa là Expnsive giá trên trời,negative
145,"Đẹp ghê, đẹp chiếc SH Mode bên cạnh :D",positive
146,"Bảo mật, thông minh ? Xin lỗi bạn chứ Obama dùng S4 đấy hihi",neutral
147,"👏👏👏Bánh Nestle vị trà xanh và socola thơm ngon khỏi bàn nhá. . 💯Bánh 16thanh to ăn thoải mái đê, để ngăn mát lớp kem mát lạnh ăn sẽ ngon đã luôn . ✔️130k/1 gói . Sỉ,lẻ ib,📞0988 435 886 . #Anvat2424 #43HangHom",positive
148,"Lần đầu tiên Diva Hồ Ngọc Hà sẽ chính thức sánh bước cùng một hãng xe hơi tại Việt Nam - và cái tên được Hà Hồ lựa chọn chính là ""nàng sư tử dịu dàng"" PEUGEOT . . Hãy nhấn share và mời 3 người bạn của bạn like Facebook của Peugeot Tây Ninh để có cơ hội nhận vé vào cổng VIP của PEUGEOT tại Việt Nam Motor Show (ngày 28/10-1/11/2015). . ----------------------------------------------------------------------------- . PEUGEOT TÂY NINH . HOTLINE: 0938.805.495",positive
149,phải lên kế hoạch để nấu 1 bữa thật ngon vào ngày gia đình Việt Nam mới được. :) và tất nhiên sẽ sử dụng những sản phẩm của Nestle để món ăn ngon và hấp dẫn hơn,positive
150,"1/ Windows Hello quét mắt cũng giống với quét khuôn mặt trên Androi : Ánh sáng yếu là khó nhận diện 2/ Continuum không có gì đặc biệt, chỉ là phóng lớn hình ảnh 3/ Màn hình và Camera rất tốt, chụp hình quayphim OK 4/ Vỏ máy bằng nhựa, máy nhìn không sang 5/ Giá chát Các application hỗ trợ còn yếu, đánh giá 7/10, con này chờ hạ giá còn 9 triệu thì mua tốt.",mix
151,SH Mode gia bao nhiều ad. Tra trước 20tr,neutral
152,Hãy thay đổi tư thế cầm smartphone nếu không muốn ngón tay út bị biến dạng 💪 💪 💪 . VNPT TP. Hồ Chí Minh VNPT Bạc Liêu VNPT Khánh Hòa VNPT & các công nghệ mới Tôi Yêu VNPT #congnhe #smartphone,neutral
153,"Tôi đã mua XPS Dell 2015, và sau hơn 1 năm sử dụng vẫn chỉ 2 từ: Miễn Chê Sản phẩm Ultrabook chạy Window tốt nhất từ trước đến nay.",positive
154,"vâng, cũng vì pin nên thấy hơi mệt chứ còn lại thì okie hết bác ạ ! quẹt quẹt cũng sướng ! vì pin nên phải tắt bật, tắt bật bluetooth ko thì cái iphone cũng down pin theo ! chỉ bật bluetooth khi đi ngoài đường còn lại ngồi làm việc thì tắt !",neutral
155,Ốp pô cắm cái máy này thì hơi phí,negative
156,Tem trùm Exciter 150 cực phong cách,positive
157,Bao Anh mỏng như kotex :)),neutral
158,Ớ!!!! Ớ clgt😀😀😀 Uh đã có mặt tại Cô Tô Vẫn koe vẫn ok,positive
159,Ai mua tất em bán cho Tất Nhật thần thánh CHỐNG XƯỚC CHỐNG RÁCH TOẠC smile emoticon 2 màu đen - da chân ❤️ Giá lẻ 65k/1c TỪ 5 ĐÔI GIÁ 60k... Mua nhiều chiết khấu nhiều Gia sỉ inbox iem nhé! Free ship 5km từ Big C - đơn hàng trên 5 đôi✈️ Còn lại ship 5k - rẻ nhất thị trường - tạo điều kiện đi chơi là chính Nhận hàng trả xiền CK: 20135555- Phạm Thanh Tuyết -GPBank Thăng Long Hình ảnh thật 100% Anh/chị/em/bạn bè/... ủng hộ lh imes -viber-zalo 093.440.2786 See More,neutral
160,"Không biết thế nào, nhưng mình đang dùng hàng của Xiaomi thấy rất ổn?",positive
161,tối ae ai ơ nhà tri âm cafe đê tiện off luôn Hoàng Exciter,neutral
162,Cô Tô-QN,neutral
163,fanryu.bộ nhớ và sóng ngon.mỗi tội nghe nhạc nhỏ.chưa gỡ app nên ram free tầm 300 nhưng mượt,positive
164,Bh đi lại cung này thế ad. . Sao m toàn thấy Cô Tô vs pha luông không thế?,neutral
165,"ad cho em đăng nhờ chút ạ , . em làm bên ngân hàng VPBANK , hiện tại bên em đang có chương trình hỗ trợ cán bộ công nhân viên đang gặp khó khăn về tài chính có nhu cầu vay vốn thế chấp sổ đỏ hoặc không cần thế chấp , . ngoài ra bên ngân hàng em còn hỗ trợ những khách hàng có nhiều xiền ý ạ , ko biết gửi vào đâu cho an toàn mà lại được bảo vệ cao ý ạ",neutral
166,Trang nhã ( mộc mạc thôi nhìn sao bồi hồi đẹp thế) đó là Hồ ngọc Hà,positive
167,Ngô Hùng Phúc 01666992070 ở Củ Chi TP HCM. Xe quan tâm Exciter 150 trắng đỏ.,neutral
168,"Cảm ơn bạn đã đặt câu hỏi với TH True Milk. Về vấn đề chuyên môn này, bạn vui lòng gọi tới hotline 1800 545440 (miễn phí) để được hỗ trợ nhé.",neutral
169,đẹp thật,positive
170,SH Mode không có phiên bản đen nhám đâu bạn. Màu đen nhám là do làm lại từ màu đen bóng đó bạn.,neutral
171,Nhìn là khoái,positive
